actual_price,discounted_price,discount_percentage,count
₹300,300.0,0%,1
"₹31,990",11990.0,63%,1
"₹31,999",24999.0,22%,1
₹310,310.0,0%,1
₹315,252.0,20%,1
₹315,266.0,16%,1
₹315,269.0,15%,1
"₹32,000",10389.0,68%,1
"₹32,999",23999.0,27%,1
₹320,272.0,15%,1
"₹33,999",33999.0,0%,1
₹999,571.0,43%,1
"₹34,990",21990.0,37%,1
"₹34,990",23999.0,31%,1
"₹34,999",19999.0,43%,1
"₹34,999",28999.0,17%,1
₹999,657.0,34%,1
₹999,778.0,22%,1
₹349,290.0,17%,1
"₹35,000",18999.0,46%,1
"₹35,999",24999.0,31%,1
₹350,260.0,26%,1
"₹37,999",26999.0,29%,1
₹375,279.0,26%,1
"₹38,999",34999.0,10%,1
₹389,379.0,3%,1
₹999,849.0,15%,1
"₹39,990",29990.0,25%,1
"₹39,999",29999.0,25%,1
₹999,445.0,55%,1
₹399,96.0,76%,1
"₹1,099",339.0,69%,1
"₹1,099",351.0,68%,1
"₹1,099",449.0,59%,1
"₹1,099",655.0,40%,1
₹399,193.0,52%,1
"₹1,100",499.0,55%,1
₹399,210.0,47%,1
₹399,229.0,43%,1
₹399,247.0,38%,1
"₹1,100",645.0,41%,1
"₹1,100",660.0,40%,1
₹399,328.0,18%,1
₹399,329.0,18%,1
"₹1,109",879.0,21%,1
₹399,399.0,0%,1
"₹4,000",1709.0,57%,1
"₹4,000",2089.0,48%,1
"₹4,000",2339.0,42%,1
"₹4,005",2899.0,28%,1
"₹4,100",3299.0,20%,1
"₹4,195",3190.0,24%,1
"₹4,199",999.0,76%,1
"₹4,200",2399.0,43%,1
"₹4,200",2590.0,38%,1
"₹4,290",2599.0,39%,1
"₹4,295",2033.0,53%,1
"₹4,295",3699.0,14%,1
"₹4,330",3710.0,14%,1
"₹4,332.96",3999.0,8%,1
"₹4,400",2599.0,41%,1
"₹4,490",1499.0,67%,1
"₹4,495",2286.0,49%,1
"₹4,495",3711.0,17%,1
"₹4,499",899.0,80%,1
"₹4,499",999.0,78%,1
"₹4,500",1850.0,59%,1
"₹4,560",2599.0,43%,1
"₹4,590",2399.0,48%,1
"₹4,600",2092.0,55%,1
"₹4,650",1474.0,68%,1
"₹4,699",3303.0,30%,1
"₹4,699",4699.0,0%,1
"₹4,700",1999.0,57%,1
"₹4,700",2699.0,43%,1
"₹4,775",1999.0,58%,1
"₹4,780",2599.0,46%,1
"₹4,799",3349.0,30%,1
"₹4,849",2949.0,39%,1
"₹4,890",2790.0,43%,1
"₹4,990",1799.0,64%,1
"₹4,990",3487.77,30%,1
"₹4,995",3299.0,34%,1
"₹4,999",294.0,94%,1
"₹4,999",598.0,88%,1
"₹4,999",849.0,83%,1
"₹4,999",1199.0,76%,1
"₹4,999",1449.0,71%,1
"₹1,111",749.0,33%,1
"₹1,129",749.0,34%,1
"₹4,999",1799.0,64%,1
"₹4,999",1898.0,62%,1
"₹1,130",1130.0,0%,1
"₹1,150",598.0,48%,1
"₹4,999",3199.0,36%,1
"₹4,999",4098.0,18%,1
"₹40,990",18990.0,54%,1
"₹40,990",27999.0,32%,1
₹400,199.0,50%,1
₹400,249.0,38%,1
₹400,299.0,25%,1
₹400,380.0,5%,1
₹404,309.0,24%,1
"₹1,190",399.0,66%,1
₹420,420.0,0%,1
"₹44,990",20990.0,53%,1
"₹44,999",32999.0,27%,1
₹440,440.0,0%,1
₹449,129.0,71%,1
₹449,299.0,33%,1
"₹45,999",32999.0,28%,1
₹450,184.0,59%,1
₹450,341.0,24%,1
₹450,349.0,22%,1
"₹47,900",32990.0,31%,1
"₹47,990",32999.0,31%,1
₹475,309.0,35%,1
₹485,299.0,38%,1
"₹49,990",30990.0,38%,1
"₹49,990",35999.0,28%,1
"₹49,999",31999.0,36%,1
"₹49,999",44999.0,10%,1
₹495,139.0,72%,1
₹495,199.0,60%,1
₹499,79.0,84%,1
